,text,label
0,"My question is why are your presenters using such provocative language to describe how our ADF personnel are assisting with the pandemic in Victoria. They are continually using the phrase the ADF are corralling people, as if they are rounding people up like animals? Please reply.",0
1,RT : Sort of obsessed with how Miller doesn't either offer his umbrella to his wife or at least try to hold it over her as t…,0
2,"Onto your next dumb reply, stop shifting blame. You're acting like every dumb American who didn't care about covid is related to ""#Qtards or #MAGAts "", so every college student who didn't care and went on spring break vacations ever is Q? Damn that's some real misinformation.",0
3,Parents of a student at my school refusing to enroll their child in face-to-face classes BECAUSE all the students/teachers will be wearing masks. One of the few examples of stupidity actually SAVING lives in this pandemic?,1
4,"Please release your data on those same things. Just focus on the suicides. People keep calling bullshit on Covid numbers, bringing up suicide as a counter but don’t have those numbers either. Fight facts with facts or stfu.",1
5,RT : The mask is a political armband you wear on your face. It is not meant to protect you or others from disease. It is me…,0
6,That is a little different than housing covid patients in nursing homes! They weren’t allowed any visitors and died alone- they were murdered!,0
7,"The Democrats are like cotton candy, come out fluffy and then melt away. How Democratic is that ?#COVID19 #ILAND #StreamWatermelonSugar #iqrarulhassan #melting #twitch #MoneyHeist #coronavirus #myfuture #Arewa #RipCity #Lootcase",0
8,"RT : Keeping a physical distance from people to prevent infection is one thing, but what about the air we breathe? Experts weigh in on w…",0
9,"That’s fine. IT is a personal choice, doesn’t hurt anybody or add risk to others whatsoever. Temp checks mean nothing. Dr Fauci and CDC never recommend this. Masks, distance, avoid crowds wash hands.",0
10,"Same reasoning as 1000s attending all the services for G. Floyd, but when & PA DOH sent #COVID to our local nursing home, infecting 73/83 seniors, 19 deaths, families not only were denied any & all contact & funeral services,but Pa govt ignored all calls for help.",0
11,Maybe because you and I are not doctors. We don't know what is going on with this patient and his doctor. My guess is that they take it for two weeks to stop any potential side effects from covid.,1
12,Ladies and gentlemen allow me to introduce our governor doug ducey... the only man to suggest his way through a pandemic and spend more money on his suggestions then on his constituents.,1
13,"Want to order a pizza, but you're trying to lose weight and not sure if you want to risk catching Covid from the driver or the people making it. Hmm.... vegan dinner it is tonight! (No I'm not a vegan, it's just potatoes and veggies with some butter.)",0
14,"#PresidentPelosi if you try to cancel the election. 154,000 Americans dead who didn't have to die because of your INEPT CORRUPTION #COVID19 #JusticeIsComing January 21, 2020.",0
15,"RT : Today at 5 - ""If we can maintain physical separation at schools we can begin classes this fall in a fairly safe manner."" A…",0
16,"RT : So why do we think Mr Trump has turned his attention to COVID in Oz, which, tho alarming, is nowhere near as bad as ot…",1
17,RT : That's a projection of a daily average of 1363 for next 22 days . To put that in perspective: Thats 9/11 every 60 hour…,1
18,We need to caretake the political institutions that we will still have to live with post-pandemic. Giving a pass to serious matters on account of a crisis is shortsighted.,0
19,"RT : This kind of loss is unamginable. To all of you who choose to party, walk out of your home without a mask, disregard t…",1
20,"I'm sneakily watching the fighting game publisher round table at my dad's birthday bbq but honestly I don't expect much aside from ""ugh covid 19 really hurt local fighting game tournaments but shikatanai nothing we can do""",1
21,Every time when I see this my BP goes up. This Covidiot is in more than one way very bad for my health and the health of our fellow Americans.,0
22,"& , the US Senate went home for the weekend with no action on coronavirus relief. Federal unemployment benefits will expire tomorrow and rent is due, with millions facing potential eviction. This is NOT okay. #ArtsHero",1
23,what if they put Harry Potter into the pandemic shit just so he doesnt happen and what if instead of being a story about how humans got superpowers through dark magic they went completely dark dark sword and shield,0
24,Prophet Mohammad also taught his followers medical isolation so he ordered them not to enter the places affected with epidemic diseases and not to leave it in order to prevent the spread of diseases.,0
25,"RT : #BREAKING #news EU GDP fell 12% due to #covid19 Under Trump's INCOMPETENCE, the US GDP fell off a cliff with a 34% decline i…",0
26,"It’s really unfortunate that COVID-19 is non-discriminatory in when it kills, when it inconveniences, and when it doesn’t make itself known at all. Ah well, that’s the nature of a virus. A plague on the other hand...well, you’d know it intimately, seeing as you’re part of it.",0
27,"RT : You can help slow the spread of #COVID19. Wear a cloth face covering, wash your hands, and stay 6 feet away from others. Each h…",1
28,"AOB before sign off: the virus is real. Wash your hands. Wear a mask. Be smart. Winter is coming...to hell with conspiracy theorising fools thinking themselves smart. They should live it. Volunteer in a hospital, assholes. I’ve seen it, it’s tough.",1
29,RT : Manhattan covid deaths: April: 1000+ May: 439 June: 52 July: 18 There is a path out of this if we do what we're suppose…,1
30,"United States Corona virus Cases : 4,705,018 Deaths : 156,741 Recovered : 2,327,072 Projections Closed Cases 2,483,813 Cases which had an outcome 2,327,072(94%) Recovered\Discharged 156,741(6%) Deaths #covid19 #covid19update #corona #coronaupdate #covid19US #coronaUS",1
31,"160,000+ Americans Dead from COVID-19. That's more Americans Dead than D-Day, 9/11, Korean, Vietnam, Afghanistan, Iraq, and Gulf wars combined! Is there no one in your life worth protecting? Is there no one who will mourn you?",0
32,RT : Sort of obsessed with how Miller doesn't either offer his umbrella to his wife or at least try to hold it over her as t…,1
33,Oh people should not be in crowds also we can spread the virus by protesting with a hundreds of people 🤡🤡🤡 either u agree with social distancing rules or u don’t,1
34,RT : So let me get this straight.....the pandemic is so out of control that we need to delay the election but it is so under cont…,0
35,"RT : This kind of loss is unamginable. To all of you who choose to party, walk out of your home without a mask, disregard t…",1
36,"He’s clearly been watching football during the lockdown, the fake ball grab as if he was kicked to get a foul on Giannis was expert",1
37,"RT : i miss my life pre-corona. i mean, it wasnt by any means ‘better’ for me, but at least i wasnt waking up everyday to thousands…",1
38,"CDC Stated at one point that Numbers could be a much as Twice as High as reported,, And That was BEFORE Trump and Company took over the spread of all Info (really underreported them),,",0
39,"If you believe that COVID will end, and we will get back to normal just because we reopen everything, raise your hand. Good. Now, slap yourself with it.",0
40,"RT : Forced to wear masks, Stay at home orders & now Fraud Fauci is trying to say we need googles. This has everything to do w…",0
41,My wife has to buy her own teaching supplies and her low income students were shit out of luck until the school could afford to give them iPads for remote learning during the pandemic,1
42,"Help! I flew with my family to Arlington, VA in hopes of viewing the sites, but apparently if we step foot in D.C. we have to self-quarantine! It shouldn't be a crime to see the White House! #Coronavirus #COVID19",0
43,"RT : Wow, so Fauci seems to be at a loss of words when asked if medically we should limit protests to stop the…",0
44,They’re talking about how they’re social distancing on the bench using assigned seating as if the same players don’t literally slather up against one another in the court lololololol NBA really is something,1
45,"#Get2GetherExperience SAMSUNG GALAXY A31 Don't just live life Nje Live a GALAXY A life I facemask, Sanitizer and do the social distancing thanks Tdeep for keeping my bedroom a dance",0
46,"RT : We will be having an XC parent/athlete meeting on Sunday, August 9th at 6:00 pm in the DHS auditorium. We would like only 1…",0
47,"If she really said that, her fame (as a topnotcher) went to her head...bibilib pa sana ako kung meron syang suggestion sa treatment and cure for CoVid na back by science. Kaso wala.. Lume-Leni lang.",1
48,"My 77 year old aunt went to the hospital due to trouble breathing on July 13. She was diagnosed with Covid and pneumonia. The doctor gave her an iv of a HCQ “cocktail.” Within a few hours, her breathing improved and she was released from the hospital 4 days later.",0
49,"FYI, President Trump cancelled the big GOP convention in Florida because of COVID & the only thing happening will be a quick nomination & acceptance meeting in North Carolina. Then he will address everyone later. That will NOT cost the taxpayers $50M!",0
50,But saying its safe....no that's misleading. Helpful. Useful. Sure. Safe - no its so far from safe. If this dude thinks he's a dr- this is why there's such a drug epidemic from prescribed medication,1
51,RT : Highest age group of COVID attack at this camp was 6-10 at 51%! That means over half of the youngest children in this ca…,1
52,You guys are the worst of the worst in the Universe but you already know that deep down lol,0
53,RT : Just FYI Montgomery mall has two confirmed cases of Covid-19 one from a Sephora employee and the other from a chik fil a emp…,1
54,"Sure does... my family x 2 is a testament to its efficacy against #COVID19! Infuriating for the rest of us, but glad these two are still with us! #hydroxychloriquineworks Mr",0
55,I wish I was shocked to see that a story about covid didn't make sense. I also wish we had the ability to go back in time and smack the stupid out of people.,0
56,"My supervisor asked why we were all so quite today during our first meeting/training back as if we didn’t just go through a pandemic, social isolation and a reoccurring race war all in the last 5 months",1
57,"(FL) Only way my kids can hold a place in their magnet program & stay home is this conferencing in option on a bell schedule which the county calls “innovative.” What a misnomer. I work in a different county w no option to teach at home, so I resigned to stay safe & help my kids.",1
58,if schools require children to go back in person can u sue the school for wrongful death if ur child dies from being exposed to covid at school?,1
59,"Obama rebuilt the economy after the last Republican dumpster fire. Obama dropped unemployment a ton while cutting the deficit in half. Trump moved it a smidge while doubling the deficit,, even pre-COVID. The numbers don't lie.",1
60,Calling... Jose Mari Chan I look out and I see the rain As it falls on my window pain And the music that's in my heart Is a sad... COVID-19? We look forward to a happier REFRAIN!,0
61,RT : Is your doctor Donald Trump? Look forward to you jumping on TV in a few weeks like one of those idiots kneeling before a t…,1
62,RT : I'm a black trans woman who has no income due to covid-19 so I'm reliant on donations to pay rent and for food. You ca…,1
63,an example of why US along with the silly individual citizens can't get a grip on the pandemic and not 'get' that's why kids not in school and economy tanked,1
64,RT : We are trying to solve problems in the stupidest ways. PAY PEOPLE TO STAY HOME. That’s it. That’s all you have to do. Essent…,0
65,"RT : i miss my life pre-corona. i mean, it wasnt by any means ‘better’ for me, but at least i wasnt waking up everyday to thousands…",0
66,"RT : This is a lie. It is a ridiculous and dangerous lie. How many of you have been tested at least twice? My guess is, unless…",0
67,"Little late for that you idiot. Trump allowed this virus to spread to dangerous levels. Europe, Asia, Canada, NZ, and many others beat Covid19 in 90 days. USA, Brazil, Russia, Iraq, Peru, Iran all failed. Which country does not belong in that group? #TrumpVirusCatastrophe",1
68,RT : All Time Low deserve that win. They came out the FIRST month of 2020 w/ a banger that not only captures their new sound…,1
69,"best is to ignore this idiot , day before they cried how Gov does nothing to protect BAME from Covid , when Gov do some like last night Lockdown its automatically racists , they would rather see those ppl celebrate and possibly get infected then die so they could then blame Boris",0
70,"RT : Bill Gates has never treated a COVID patient, never spent a day in a medical setting & has no degree in medicine yet h…",1
71,RT : COVID is safe we can open schools but we can't vote but we can protest but we can't go to church but we can go to sport…,0
72,"Was part of the pandemic playbook to send sick people to house with the most vulnerable? How about counting people who died with covid, but not from covid? Or holding mass protests and pretending that the spike in 20-30 yr olds had nothing to do with the protests?",0
73,"As a Victorian in lockdown, we wish it was done properly the first time like NZ. Our economy is suffering far worse than one hard lockdown to eradication. Your PM is the envy of the world",0
74,"I first hand know that to be true but here's the kicker, they're still going to have to do that no matter what. They are now expected to have everything online for the kids who opted to stay home plus then teach the kids in person. The teachers are on the losing end of this alot.",1
75,"Ok so that’s insanity, but the rich getting tax breaks (for example Kanye’s yeezy Business getting millions in relief aid for Covid) isn’t insanity? Did you know small mom and pop shops can’t even qualify for aid when they’re the ones that really need it? Ur mad at the wrong ppl.",1
76,It's a better alternative than the status quo. Lock it down & do what? You will have an underutilized asset taking up pace and wasting away. Im sure private individuals out there have better utility for the asset. Divest a part of it on JSE so Jamaicans have another asset option.,1
77,I hope he announces on MY birthday. It’s been the date set for so many benchmarks specifically the death count for Covid. I’d love it if on my birthday it would be some good news.,0
78,"Donald trum cost us thousands & thousands of lives! Delayed any action against COVID, called the seriousness of it a hoax then in April pushed states to open early!",0
79,". , TY for co-sponsoring the Central American Women & Children Protection Act. Domestic violence is rising in lockdown & this legislation is vital. Urge to set S. 1781 for markup before August recess. #UnsafeinLockdown",1
80,With Covid19 confinement A with the quality of C. It’s not like you have other things to do. BTW maturnity wards will surge nine months after shutdown... December January,1
81,First of all we do have feee masks! Newsom is literally spending $1BILLION. Also under the last stimulus covid is covered. Also the republicans wanted to extend benefits today and democrats said NO.,1
82,"RT : Florida has set a new record for the number of COVID-19 deaths for the fourth day in a row. ""What we're seeing now is the result…",0
83,“Knock down” (proceeded by a brick) “Thank you” [after a referee (trying to get $25 for working a game at the Covid Classic) calls a foul in favor of their child] “Still sleepin’” (after a kid finally connects from 3 to go 1 for 13),1
84,"Bullshit. Elon is not in favor of sending anyone checks. He wants them to go work during a pandemic. UBI is not even on the table, so him being in favor of it means absolutely nothing at this point. Fuck Elon.",1
85,"Totally go for it. Have an old, beaten looking (but of course unused, maybe with valve) N95 in your pocket and pull it out and say ‘oh, damn, I left that in here from my last shift...’",0
86,"RT : People of colour make up 83 per cent of reported COVID-19 cases in Toronto, but they only make up half of the city's po…",0
87,"RT : People of colour make up 83 per cent of reported COVID-19 cases in Toronto, but they only make up half of the city's po…",1
88,RT : 1) Have you ever tried kneeling on ice? It's not a fun time. 2) Notice how the two teams are on the same blue line(s). That…,0
89,"We made it to the end of the week, the end of the month, and, with August ahead, the end of summer! Happy Friday, despite pandemic.",1
90,RT : So let me get this straight.....the pandemic is so out of control that we need to delay the election but it is so under cont…,0
91,RT : I made a gofundme (per the advice of some of my friends to make it easier) so please share the link if you are unable to do…,0
92,RT : Is your doctor Donald Trump? Look forward to you jumping on TV in a few weeks like one of those idiots kneeling before a t…,0
93,RT : I took so many things for granted before this pandemic. Look how easily life can change in the blink of an eye. We don’t…,1
94,"RT : Hey , This is TYRANNY!! First they tell you “Wear a Mask” Now they tell you what kind you can wear! Wake up…",0
95,RT : CDC reports a camp for 12 year olds in Georgia infected one counselor wearing a mask and 44% of 600 campers all not wearing…,1
96,Have you lost your mind???? Get the hell out of the White House before their won’t need to be election because we will all be dead from COVID-19!!!!!,1
97,"#1 today's hearing was about COVID, NOT about protests. Jordan's attempt to change the focus & turn the whole thing into some political bullying was both unacceptable and irresponsible!",1
98,RT : MLB Commissioner Rob Manfred warned union leader Tony Clark in a Friday call that if the league and players don't do a better job…,0
99,RT : Will share some of the great points I took from one of the books I have read since the lockdown. “Taking the ea…,1
100,"Hey Sammy, just a couple of things. 1. Wear a mask when in confined spaces 2. Take the mask off when eating inside or outside 3. Wash your hands regularly 4. ALWAYS WASH YOUR HANDS AFTER PLAYING STINKY FINGER",1
101,Stay home and watch Tory Lanez oompa loompa muddaskunt scream into a fake mic. DM Salty and ask back for the IG lives if yuh so desperate for entertainment.,0
102,"Pelosi and McConnell resist testing for lawmakers as anxiety spikes: Leadership isn't budging, even after Rep. Louie Goehmert's positive coronavirus case has fueled new concerns about an outbreak on Capitol Hill. Via",0
103,That’s what happens when the CDC contaminates the tests and makes people ill. Lots of people need to be locked up for 50 years. Or hung for treason.,0
104,"Canada's death rate per million in population is half that of the US. We wish we had had Canada's pandemic leadership. Canada reports 6 deaths so far today. The US reports 1,454.",0
105,RT : Sort of obsessed with how Miller doesn't either offer his umbrella to his wife or at least try to hold it over her as t…,0
106,I'm all for following corona rules to get this over with as soon as possible but the government's timing with this one is super shady and they can fuck off.,0
107,RT : My dad & I have both lost work due to covid & are unable to pay my remaining balance to Howard U. Please retweet and dona…,1
108,"Patriots have no skin color, time to unite & strengthen our resolve, defend the Constitution & Republic. Take back our 🇺🇸Freedom 🇺🇸Liberty & 🇺🇸Justice4All. Fascism is in the Republic in the guise of DEM. COVID19. 🇺🇸KAG 🇺🇸TRUMP2020",0
109,RT : If they come knocking on your door to check on you and you have #COVID19 is it possible that you could please be home. A…,1
110,RT : Filipino nurses & migrant workers were brought to the US to be exploited & are sacrificed by this country to be on the frontl…,0
111,"Why do people say “masks don’t stop you from getting COVID, they only help protect others” like they’re making some kind of point?? YEPPERS THAT’S THE CASE AND THE LOGIC IS IF WE ALL WEAR THE MASKS THEN WE’RE ALL PROTECTED.",1
112,"Godbless you Rose McGowan & may our lord Jesus Christ protect you. Thank you for using your voice to fight the evil that exists regardless of PARTY. Sexual abuse of CHILDREN is worse than ANY PANDEMIC. Rose, you've seen the darkness i.e. Marilyn Manson. WELCOME TO THE LIGHT!",0
113,Abbott/Turnbull/ Morrison trifecta have all pursued less accountability and transparency from the very start shrouding many decisions in secrecy for no reason. The pandemic has been a gift allowing them even less scrutiny. Parliaments all round the world are sitting except ours.,0
114,RT : Is your doctor Donald Trump? Look forward to you jumping on TV in a few weeks like one of those idiots kneeling before a t…,0
115,RT : You worked overtime to pass tax cuts for the rich 3 years ago. You waited 2 months to start working on another COVID reli…,0
116,RT : I don’t really care if you want to give yourself a heart attack but it must be nice to make your own medical choices rather tha…,0
117,Lmao China virus lol. Spanish flu lol. Ebola lol. Did you know... if you ever said Ebola referring to the pandemic during Obama’s administration then you’re racist because it’s based off a river in Africa. Racist. Should be ashamed of yourself.,0
118,"First, you are an idiot, Trump has no power to delay the day election. Second, the pandemic would still exist and start to be managed properly vs downplaying it.",1
119,"RT : How sweet of Stephen Miller to hold on to his wife on a slippery surface, while holding an umbrella over her to shield h…",1
120,"In 2020, we’ve had: - WW3 scares - Kobe & Gigi’s death - Australia burning - Global pandemic - Sports canceled - UFOs - Murder Hornets - Parallel Universe - Riots/Protests - Anonymous returned - Ebola/bubonic plague rumors - Lightning spelling the words Jesus August is tomorrow",0
121,RT : I don’t really care if you want to give yourself a heart attack but it must be nice to make your own medical choices rather tha…,0
122,"I don’t explicitly blame Trump for every fatality. But I do think it’s unjustified how he doesn’t require masks or social distancing at events, especially in a high risk state like Florida. On the other hand people have to exercise personal responsibility.",0
123,"#veryworriedAB For all the teachers that don't want to go back - quit. Getting paid for 8 and working 1 is not feasible. All you parents, switch to home schooling. Give up your job and stay home with your kids. Don't take them to rec centers or anything.",1
124,"AN UNCONFIRMED STORY says that Jared Kushner pushed for abandoning a National COVID Plan in favor of letting the virus spread unchecked in BLUE STATES, decimating Donald’s opponents. And Don supported this apparently! NOTHING LESS THAN A MASS MURDER CONSPIRACY!",0
125,"RT : 5. Normally, you could argue execs should be rewarded for striking a deal that saves a company. But in this case it was a TA…",0
126,RT : Is your doctor Donald Trump? Look forward to you jumping on TV in a few weeks like one of those idiots kneeling before a t…,1
127,Because they can’t accept that this is a global pandemic and “life as usual” isn’t possible so they’re finding any loophole or opening they can to fight against it,1
128,RT : You worked overtime to pass tax cuts for the rich 3 years ago. You waited 2 months to start working on another COVID reli…,0
129,"RT : In 2020, we’ve had: - WW3 scares - Kobe & Gigi’s death - Australia burning - Global pandemic - All sports cancelled - UFOs…",1
130,Would love to but in the current climate I am very happy that I live where I do. No COVID community spread infection for over 100 days.,0
131,"RT : AZ #Covid hospitalizations: down 35% from peak 18 days ago. CA: down 8%, peak 10 days ago. FL: down 14%, peak 10 days ago…",1
132,"This month of summer is quite interesting than the other summers for me. Before COVID-19, everything was same. Now that COVID has been here...every thing changed. Stay safe out there everyone. Wear masks, keep distance, wash ya hands. It’s almost the end of summer, learn and grow",1
133,RT : I love how some people came out after bernie dropped out and said “hey maybe we can turn the Republicans into the left p…,0
134,"RT : Bill Clinton on Epstein’s island with 2 young girls and a person named Emmy. Wait, I heard a pin drop. MSM are so silent abou…",1
135,#FlipSenateBlueToSaveAmerica if Dems control senate they insure legislation gets passed that is urgent!! That investigations ate unobstructed! Supreme Court nominees get confirmed! COVID19 is handled with urgency and competence! Weeding out Trump sycophants!foreign policy/Nat Sec,0
136,RT : I have a nurse friend who is a director of nursing at a large nursing home. She said the number of young people relegat…,1
137,"This report does not inform how sick the infected are. It does show all children are of great risk to catch covid19!!!! Schools, camp, parties, churches, shopping stores, pools, beaches... anywhere there are humans. Get it yet?",0
138,RT : I’ve canceled his order. I’ll be buying it and signing it for someone with COVID. I’ll also be donating a box of signed e…,1
139,"that Dr. Raoult was correct in his findings. Today there are over 5 global studies that support the doctor’s findings that HCQ is a cheap & very effective treatment for coronavirus. Unfortunately,this was not the preferred treatment by professionals who hoped to reap vast rewards",0
140,"Yes, singing in a public building during an airborne pandemic is not a sweet and patriotic gesture. I’m not angry. I’m explaining to you that singing, if you have this virus, exposes people.",1
141,Trump views Fauci as a rival 4 the affection of America. Fauci tells the truth about covid because he cares. Trump lies because he doesn't. Dishonesty is a compulsion w/Trump. He doesn't care how many of our loved ones have 2 die 2 stay in power. Vote blue all the way down.,0
142,Because of a global pandemic?we aren’t handling it properly and are thusly having our travel restricted that in no way has anything to do with immigration nor asylum seekers the fact that you tried to stretch it that far is honestly idiotic and shows what little footing you have,0
143,There is a global health pandemic. I want mail-in voting for my grandmother and others at risk. We have both seen voting lines in other states that are way too long to just exercise our right to vote. Those people will needlessly be put at risk. While I agree if we had the (1/2),0
144,RT : The words “Covid and Cambria” came to my head and I can’t stop laughing because stupid word play is how I cope with shit.,1
145,RT : San Diego gym that was shut down after operating in defiance of county health order to close is now linked to outbreak of coronav…,0
146,RT : Over 250 camp attendees in Georgia caught Covid 19 in just a matter of days blowing a huge hole in the theory that kids can’…,1
147,"RT : It's time to discuss the current state of the NFL under COVID19, the top 100 list and more as we vibe to lofi! I will al…",0
148,RT : Sort of obsessed with how Miller doesn't either offer his umbrella to his wife or at least try to hold it over her as t…,1
149,"RT : ""They're going to fall off a cliff."" The end of the month is set to bring new financial anguish as coronavirus aid lifelines expi…",0
150,RT : I'm a black trans woman who has no income due to covid-19 so I'm reliant on donations to pay rent and for food. You ca…,0
151,"RT : We are living through a pandemic, something most of us have never been in, but let’s keep our heads up & continue to uplif…",1
152,"RT : 700 more Covid cases overnight in Iowa. And 11 more dead! I'd like to know the ""REAL"" numbers in this fucking state but the G…",0
153,RT : I’m going to my polling place in November and voting in person just to be certain that it’s counted. Do whatever you have to to…,0
154,"There must be tens of hundreds of people there....manning the equipment, draining the shitter in Air Farce Wun, running the p.a., selling cheap ass made in china shitty keepsakes commemorating the orange loser in charge as his death took on COVID 19 approaches 200k.",0
155,"WHEN DID YOU DECIDE THAT IGNORING COVID19 AND NOT DO ANYTHING TO MITIGATE THE VIRUS. IS A GOOD IDEA?TO HAVE PEOPLE LIKE YOU ENOUGH TO VOTE FOR YOU? MORALLY, IS THE REASON ANY SANE PERSON WOULD WANT TO SAVE LIVES NOT KILL PEOPLE. DID YOU THINK YOU COULD KEEP LYING & KILLING?",0
156,"In a pandemic shortened season that we don't even know if it will be finished or not.. give me a Soroka, Fried, Newcomb, Toussaint, Wright rotation all day long.",1
157,It should be illegal not wearing a mask in public during a pandemic. Simple as that. I dont need your asymptomatic a$$ coughing or breathing down my neck during a pandemic of a virus we have no knowledge about or vaccines for that matter.. But its hard for you to understand that.,0
158,Over 40 years in politics and he has to scrape the bottom of the twitter barrel for campaign money during a pandemic. Sounds about right lol,1
159,RT : I'm a black trans woman who has no income due to covid-19 so I'm reliant on donations to pay rent and for food. You ca…,0
160,"Your point is not in dispute, no Covid cases were found solely through the app because the people who were infected had not bothered with the app in the first place. My point is that your little rant may suppress adoption of the app here and is unwelcome.",1
161,"That is a good sign. I'm in PA, most people are masked now. This is ground zero for Trump, but I'm hearing of a few supporters who won't vote for him again. Others are still staying strong for Trump. But before Covid, there were no dissenters around.",0
162,"RT : The Internet world is becoming so real. I stay home, work online and talk to my team on Teams & friends on Zoom. Does it mean T…",1
163,The nutcase ultra liberal CA governor Newsom releases vicious murderers over Covid without any concern for the victims families. What a rat...Who is this murderer next victim? What are you going to say to the victim family? RECALL THAT RAT NOW.,0
164,"Will your kid bring Covid19 home and have to feel, ""I killed my Mom, my Dad...""? Willing to bet your life on it? Your child's life?",1
165,"RT : Please pray for me. I’m quite honestly scared out of my mind right now but turns out, I do have COVID. I know God has m…",0
166,Was sad to see a City BBQ location was closed down - the one on Sancus. I suspect it was killed by COVID19 that BEEOTCH!,0
